Country,Destination,TopSight,Description,Rating,NumberOfReview,Type,TypicalTimeSpent,Latitude,Longitude,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10
Faroe Islands,Tórshavn,Nólsoy,"Nólsoy is an island and village in central Faroe Islands, 4 km east of the capital Tórshavn in Streymoy.",4.4,23,,,,,,,,,,,,,,
Faroe Islands,Tórshavn,Tinganes,,,,,,,,,,,,,,,,,
Faroe Islands,Tórshavn,The Nordic House,"The Nordic House is a cultural institution in the Faroe Islands. Its aim is to support and promote Nordic and Faroese culture, locally and in the Nordic region",4.4,207,"Cultural center in Tórshavn, Faroe Islands",,62.02206,-6.784673,,,,,,,,,,
Faroe Islands,Tórshavn,Koltur,"Koltur is an island in the Faroe Islands, located to the west of Streymoy and to the north-west of Hestur. The name 'Koltur' means 'colt', in contrast with the name of the larger island to the south-east, 'Hestur', which means 'horse'. The island has just one settlement, Koltur.",4.8,5,,,,,,,,,,,,,,
Faroe Islands,Tórshavn,Hestur,"Hestur is an island in the central Faroe Islands, to the west of Streymoy and the south of Koltur. Hestur means horse in Faroese.
On the west coast is a guillemot colony. In the north there is moorland with four small lakes, of which Fagradalsvatn is the largest.",4.6,7,,,,,,,,,,,,,,
Faroe Islands,Tórshavn,Tórshavn Cathedral,"Tórshavn Cathedral is the second oldest received church of the Faroe Islands, on Tinganes in the old town of Tórshavn. Painted white, and roofed with slate, it was established in 1788. The cathedral lies in the north of the peninsula of Tinganes and is one of the main attractions of the town.",4.3,136,"Cathedral in Tórshavn, Faroe Islands",,62.0096447,-6.7716551,,,,,,,,,,
Faroe Islands,Tórshavn,Skansin,"Skansin is a historic fortress in Tórshavn, the capital of the Faroe Islands.
Skansin is located on a hill beside the port of Tórshavn. The fort was built in 1580 by Magnus Heinason to protect against pirate raids of the town, after he himself was nearly caught up in one such raid.",4.3,278,"Historical landmark in Tórshavn, Faroe Islands",,62.0079831,-6.7632137,,,,,,,,,,
Faroe Islands,Tórshavn,Listasavn Føroya,"Listasavn Føroya is an art museum in Tórshavn, Faroe Islands for mostly permanent exhibits of Faroese arts. Tórshavn is the capital of Faroe Islands.
Established in 1989, it consists of a gallery called Listaskáli and another for historic arts with an area of 1,600 m².",4.6,126,"Museum in Tórshavn, Faroe Islands",,62.0175196,-6.7806489,,,,,,,,,,
Faroe Islands,Tórshavn,National Museum of the Faroe Islands,"The National Museum of the Faroe Islands is the national museum of the Faroe Islands, located in Tórshavn.",4.2,110,"Museum in Hoyvík, Faroe Islands",,62.0320435,-6.7649088,,,,,,,,,,
Faroe Islands,Tórshavn,"Saint Olav's Church, Kirkjubøur","Saint Olav's Church is a medieval church in the village of Kirkjubøur in Streymoy, Faroe Islands. It was built before 1200, which makes it the oldest church of the Faroe Islands. Until the Reformation, it served as the seat of the Catholic bishop.
A runestone, the Kirkjubøur stone, was found in 1832 in the church.",,,,,,,,,,,,,,,,
