Country,Destination,lp_URL
Andorra,Andorra la Vella,https://www.lonelyplanet.com/Andorra/Andorra-la-Vella
Malta,Valletta,https://www.lonelyplanet.com/Malta/Valletta
Malta,Mdina,https://www.lonelyplanet.com/Malta/Mdina
Malta,Victoria,https://www.lonelyplanet.com/malta/victoria-rabat
Malta,Rabat,https://www.lonelyplanet.com/malta/mdina-and-rabat
Malta,Senglea,https://www.lonelyplanet.com/Malta/Senglea
Malta,Naxxar,https://www.lonelyplanet.com/Malta/Naxxar
Malta,Marsaxlokk,https://www.lonelyplanet.com/Malta/Marsaxlokk
Malta,Marsalforn,https://www.lonelyplanet.com/Malta/Marsalforn
Malta,Marsaskala,https://www.lonelyplanet.com/Malta/Marsaskala
Malta,Mellieha,https://www.lonelyplanet.com/Malta/Mellieha
Malta,Xagħra,https://www.lonelyplanet.com/malta/xaghra
Malta,Mgarr,https://www.lonelyplanet.com/malta/mgarr-1325221
Malta,Zurrieq,https://www.lonelyplanet.com/Malta/Zurrieq
Malta,Xewkija,https://www.lonelyplanet.com/Malta/Xewkija
Malta,Xemxija,https://www.lonelyplanet.com/Malta/Xemxija
Malta,Birżebbuġa,https://www.lonelyplanet.com/Malta/Bir%C5%BCebbu%C4%A1a
Luxembourg,Vianden,https://www.lonelyplanet.com/Luxembourg/Vianden
Luxembourg,Beaufort,https://www.lonelyplanet.com/Luxembourg/Beaufort
Luxembourg,Clervaux,https://www.lonelyplanet.com/Luxembourg/Clervaux
Luxembourg,Bourscheid,https://www.lonelyplanet.com/Luxembourg/Bourscheid
Luxembourg,Larochette,https://www.lonelyplanet.com/Luxembourg/Larochette
Luxembourg,Esch-sur-Sûre,https://www.lonelyplanet.com/Luxembourg/Esch-sur-S%C3%BBre
Luxembourg,Echternach,https://www.lonelyplanet.com/Luxembourg/Echternach
Luxembourg,Ettelbruck,https://www.lonelyplanet.com/Luxembourg/Ettelbruck
Luxembourg,Diekirch,https://www.lonelyplanet.com/Luxembourg/Diekirch
Luxembourg,Remich,https://www.lonelyplanet.com/Luxembourg/Remich
Montenegro,Mojkovac,https://www.lonelyplanet.com/Montenegro/Mojkovac
Montenegro,Kolasin,https://www.lonelyplanet.com/Montenegro/Kolasin
Montenegro,Podgorica,https://www.lonelyplanet.com/Montenegro/Podgorica
Montenegro,Niksic,https://www.lonelyplanet.com/Montenegro/Niksic
Montenegro,Perast,https://www.lonelyplanet.com/Montenegro/Perast
Montenegro,Stari Bar,https://www.lonelyplanet.com/Montenegro/Stari-Bar
Montenegro,Danilovgrad,https://www.lonelyplanet.com/Montenegro/Danilovgrad
Montenegro,Bijelo Polje,https://www.lonelyplanet.com/Montenegro/Bijelo-Polje
Montenegro,Petrovac,https://www.lonelyplanet.com/Montenegro/Petrovac
Montenegro,Risan,https://www.lonelyplanet.com/Montenegro/Risan
Montenegro,Prčanj,https://www.lonelyplanet.com/Montenegro/Pr%C4%8Danj
Montenegro,Sveti Stefan,https://www.lonelyplanet.com/Montenegro/Sveti-Stefan
Montenegro,Tivat,https://www.lonelyplanet.com/Montenegro/Tivat
Montenegro,Rijeka Reževići,https://www.lonelyplanet.com/Montenegro/Rijeka-Re%C5%BEevi%C4%87i
Montenegro,Plav,https://www.lonelyplanet.com/Montenegro/Plav
Montenegro,Dobrota,https://www.lonelyplanet.com/Montenegro/Dobrota
Montenegro,Rozaje,https://www.lonelyplanet.com/Montenegro/Rozaje
Montenegro,Gusinje,https://www.lonelyplanet.com/Montenegro/Gusinje
Montenegro,Rijeka Crnojevića,https://www.lonelyplanet.com/Montenegro/Rijeka-Crnojevi%C4%87a
Montenegro,Virpazar,https://www.lonelyplanet.com/Montenegro/Virpazar
Montenegro,Pržno,https://www.lonelyplanet.com/Montenegro/Pr%C5%BEno
Montenegro,Danji Stoliv,https://www.lonelyplanet.com/montenegro/stoliv
Montenegro,Gornji Morinj,https://www.lonelyplanet.com/montenegro/morinj
Montenegro,Donji Murići,https://www.lonelyplanet.com/montenegro/murici
Montenegro,Mojkovac,https://www.lonelyplanet.com/montenegro/mojkovac
Montenegro,Kolasin,https://www.lonelyplanet.com/montenegro/kolasin
Montenegro,Bar,https://www.lonelyplanet.com/montenegro/coastal-montenegro/bar
Montenegro,Niksic,https://www.lonelyplanet.com/montenegro/niksic
Montenegro,Herceg Novi,https://www.lonelyplanet.com/montenegro/coastal-montenegro/herceg-novi
Montenegro,Ulcinj,https://www.lonelyplanet.com/montenegro/coastal-montenegro/ulcinj
Montenegro,"Dodoši, Cetinje",https://www.lonelyplanet.com/montenegro/cetinje
Montenegro,Budva,https://www.lonelyplanet.com/montenegro/coastal-montenegro/budva
Montenegro,Kotor,https://www.lonelyplanet.com/montenegro/coastal-montenegro/kotor
Liechtenstein,Vaduz,https://www.lonelyplanet.com/liechtenstein/vaduz
Estonia,Tallinn,https://www.lonelyplanet.com/Estonia/Tallinn
Estonia,Narva,https://www.lonelyplanet.com/estonia/northeastern-estonia/narva-and-around
Estonia,Kuressaare,https://www.lonelyplanet.com/estonia/southwestern-estonia-and-the-islands/kuressaare
Estonia,Rakvere,https://www.lonelyplanet.com/estonia/northeastern-estonia/rakvere
Estonia,Haapsalu,https://www.lonelyplanet.com/estonia/southwestern-estonia-and-the-islands/haapsalu
Estonia,Pärnu,https://www.lonelyplanet.com/estonia/southwestern-estonia-and-the-islands/parnu
Estonia,Viljandi,https://www.lonelyplanet.com/estonia/southwestern-estonia-and-the-islands/viljandi-and-around
Estonia,Soomaa National Park,https://www.lonelyplanet.com/Estonia/Soomaa-National-Park
Estonia,Sangaste,https://www.lonelyplanet.com/Estonia/Sangaste
Estonia,Valga,https://www.lonelyplanet.com/Estonia/Valga
Estonia,Võru,https://www.lonelyplanet.com/Estonia/V%C3%B5ru
Estonia,Kassari,https://www.lonelyplanet.com/Estonia/Kassari
Estonia,Narva-Jõesuu,https://www.lonelyplanet.com/Estonia/Narva-J%C3%B5esuu
Estonia,Kaberneeme,https://www.lonelyplanet.com/Estonia/Kaberneeme
Estonia,Otepää,https://www.lonelyplanet.com/estonia/southeastern-estonia/otepaa
Slovenia,Ljubljana,https://www.lonelyplanet.com/Slovenia/Ljubljana
Slovenia,Ptuj,https://www.lonelyplanet.com/Slovenia/Ptuj
Slovenia,Piran,https://www.lonelyplanet.com/slovenia/karst-and-coast/piran
